class,allCaps,adjectives,superlatives,avgSentenceLen,neu,sent_overall,sent_pos,sent_neu,sent_neg,spelling_errors
0,0.0,56.0,1.0,260.7,0.0,0.8319,0.061,0.898,0.041,0.00382262996941896
0,0.0,68.0,0.0,134.9655172413793,0.0,0.9966,0.126,0.829,0.045,0.0058301647655259825
0,0.0,92.0,1.0,208.43478260869566,0.0,-0.993,0.107,0.745,0.148,0.0012458471760797341
0,0.0,72.0,3.0,140.0,0.0,0.9952,0.14,0.835,0.025,0.003372681281618887
0,1.0,44.0,4.0,132.85714285714286,0.0,0.2391,0.071,0.865,0.064,0.004971590909090909
0,1.0,42.0,2.0,180.0,0.0,0.9901,0.111,0.865,0.023,0.008898305084745763
0,3.0,90.0,1.0,194.96,0.0,0.9318,0.096,0.826,0.078,0.0034630270930943166
0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,33.0,2.0,157.14285714285714,0.0,0.7464,0.086,0.845,0.069,0.0072300045187528245
0,1.0,64.0,0.0,155.14814814814815,0.0,0.9178,0.054,0.922,0.023,0.004492787893118941
0,1.0,122.0,5.0,159.76470588235293,0.0,0.9194,0.112,0.796,0.092,0.014810751508502468
0,2.0,47.0,1.0,124.4090909090909,0.0,0.9838,0.116,0.82,0.063,0.013758146270818247
0,0.0,35.0,1.0,194.8181818181818,0.0,0.9732,0.122,0.831,0.047,0.004176334106728539
0,5.0,104.0,2.0,103.25925925925925,0.0,0.9983,0.13,0.833,0.037,0.010122535961640916
0,0.0,70.0,1.0,121.75862068965517,0.0,0.9973,0.142,0.833,0.025,0.004493119910137602
0,0.0,99.0,0.0,102.71929824561404,0.0,0.9955,0.121,0.817,0.062,0.006760182524928173
0,5.0,41.0,1.0,136.15,0.0,0.9733,0.093,0.866,0.041,0.005822416302765648
0,8.0,343.0,2.0,114.90355329949239,0.0,0.9999,0.129,0.82,0.051,0.023289979691483387
0,0.0,72.0,0.0,141.36363636363637,0.0,0.977,0.148,0.736,0.117,0.012348307430274643
0,1.0,59.0,0.0,142.8846153846154,0.0,-0.9992,0.055,0.725,0.22,0.004803843074459567
0,1.0,125.0,0.0,145.84,0.0,0.9978,0.116,0.829,0.055,0.0028540364229410167
0,1.0,52.0,3.0,77.82857142857142,0.0,0.9927,0.13,0.829,0.04,0.009768451519536902
0,0.0,41.0,0.0,171.92857142857142,0.0,0.9905,0.138,0.818,0.044,0.00494641384995878
0,3.0,94.0,2.0,76.77272727272727,0.0,0.9992,0.171,0.79,0.04,0.007381507381507382
0,0.0,100.0,5.0,116.75675675675676,0.0,0.999,0.181,0.798,0.022,0.006649850951616602
0,0.0,30.0,0.0,140.8181818181818,0.0,-0.579,0.104,0.776,0.12,0.0019157088122605363
0,0.0,234.0,9.0,106.93076923076923,0.0,0.9998,0.153,0.779,0.068,0.00846613545816733
0,2.0,90.0,2.0,165.0857142857143,0.0,0.9935,0.083,0.891,0.026,0.006194081211286993
0,1.0,29.0,2.0,132.22222222222223,0.0,0.9844,0.098,0.88,0.023,0.004163197335553705
0,2.0,79.0,1.0,167.15151515151516,0.0,0.9177,0.038,0.951,0.01,0.0036010082823190494
0,1.0,92.0,0.0,145.125,0.0,0.9937,0.106,0.841,0.053,0.006830309498399146
0,29.0,975.0,29.0,160.58695652173913,0.0,0.9992,0.108,0.798,0.094,0.009672291279615407
0,0.0,20.0,0.0,138.2,0.0,0.8807,0.085,0.902,0.013,0.010760401721664276
0,4.0,99.0,2.0,165.6764705882353,0.0,0.972,0.102,0.816,0.082,0.009672880759760817
0,0.0,12.0,0.0,123.5,0.0,-0.3802,0.039,0.902,0.059,0.0160857908847185
0,2.0,114.0,2.0,187.02941176470588,0.0,0.9913,0.103,0.838,0.058,0.008747266479225243
0,0.0,73.0,1.0,127.82758620689656,0.0,0.9992,0.202,0.757,0.041,0.012048192771084338
0,2.0,100.0,0.0,166.75862068965517,0.0,-0.9115,0.055,0.878,0.068,0.008206811653672548
0,1.0,104.0,0.0,145.75,0.0,0.0533,0.105,0.803,0.092,0.0035944003026863415
0,2.0,127.0,5.0,203.3030303030303,0.0,0.9961,0.123,0.802,0.075,0.011106175033318524
0,0.0,52.0,1.0,88.08333333333333,0.0,0.9056,0.08,0.861,0.059,0.009965742759265027
0,1.0,56.0,2.0,120.48275862068965,0.0,0.9971,0.119,0.881,0.0,0.005394662123793299
0,2.0,24.0,0.0,145.7,0.0,0.956,0.152,0.786,0.062,0.029271613342409804
0,0.0,156.0,0.0,117.87951807228916,0.0,-0.9989,0.082,0.778,0.14,0.012843851132686084
0,0.0,82.0,3.0,118.53191489361703,0.0,0.9994,0.166,0.795,0.04,0.006943208118212569
0,0.0,75.0,0.0,98.48936170212765,0.0,0.9971,0.131,0.813,0.056,0.007252559726962458
0,1.0,42.0,1.0,105.18181818181819,0.0,0.9536,0.093,0.864,0.043,0.00641573994867408
0,2.0,99.0,1.0,141.35294117647058,0.0,-0.9979,0.045,0.809,0.146,0.007646207894193015
0,1.0,70.0,4.0,176.11111111111111,0.0,0.9916,0.105,0.872,0.023,0.004690431519699813
0,1.0,81.0,1.0,119.91891891891892,0.0,0.9752,0.11,0.815,0.075,0.010507489380728817
0,0.0,90.0,0.0,162.5,0.0,0.9754,0.082,0.869,0.05,0.006318082788671024
0,0.0,63.0,3.0,126.875,0.0,0.9496,0.084,0.857,0.059,0.006192959582790091
0,0.0,29.0,2.0,123.44444444444444,0.0,0.6908,0.098,0.822,0.08,0.0008936550491510277
0,0.0,55.0,4.0,134.04166666666666,0.0,0.9943,0.154,0.77,0.076,0.0030826140567200987
0,2.0,151.0,0.0,193.09375,0.0,-0.9988,0.059,0.794,0.147,0.005309734513274336
0,1.0,87.0,3.0,176.0,0.0,0.9981,0.138,0.828,0.034,0.007111482953357038
0,1.0,88.0,2.0,146.1153846153846,0.0,-0.932,0.079,0.831,0.09,0.007820646506777894
0,0.0,36.0,0.0,159.16666666666666,0.0,-0.5661,0.09,0.814,0.096,0.01353461738677772
0,0.0,15.0,0.0,155.16666666666666,0.0,0.9468,0.17,0.776,0.054,0.00641025641025641
0,7.0,43.0,0.0,184.85714285714286,0.0,0.3849,0.076,0.852,0.072,0.013456362937331795
0,0.0,21.0,0.0,369.0,0.0,0.936,0.175,0.699,0.126,0.005410279531109108
0,0.0,64.0,0.0,181.625,0.0,-0.8887,0.087,0.82,0.094,0.013009243409791168
0,1.0,42.0,0.0,233.5,0.0,0.9821,0.128,0.844,0.028,0.004266666666666667
0,0.0,60.0,0.0,132.375,0.0,0.994,0.151,0.773,0.076,0.0046801872074883
0,0.0,108.0,0.0,182.80769230769232,0.0,0.8546,0.08,0.855,0.065,0.002089427496865859
0,0.0,51.0,1.0,166.94444444444446,0.0,0.4516,0.113,0.788,0.099,0.005285761480013214
0,0.0,75.0,1.0,135.44736842105263,0.0,0.9933,0.116,0.812,0.072,0.007904376325428958
0,0.0,16.0,0.0,116.63636363636364,0.0,0.9161,0.083,0.871,0.045,0.010046367851622875
0,0.0,36.0,0.0,149.06666666666666,0.0,-0.9589,0.06,0.837,0.103,0.00444247001332741
0,4.0,30.0,1.0,173.41666666666666,0.0,-0.9648,0.031,0.887,0.082,0.006692160611854685
0,1.0,53.0,1.0,122.44827586206897,0.0,-0.9922,0.02,0.881,0.099,0.004178272980501393
0,5.0,151.0,4.0,170.2962962962963,0.0,0.9981,0.102,0.846,0.052,0.006051437216338881
0,26.0,997.0,22.0,109.97486535008977,0.0,0.9999,0.119,0.804,0.077,0.009124704291990537
0,0.0,36.0,0.0,108.0625,0.0,-0.9776,0.012,0.892,0.096,0.0045792787635947334
0,5.0,53.0,1.0,172.58823529411765,0.0,0.9895,0.104,0.867,0.029,0.003385240352064997
0,2.0,58.0,1.0,100.6,0.0,0.9661,0.15,0.728,0.123,0.00899128968811464
0,1.0,47.0,1.0,148.93333333333334,0.0,0.2996,0.091,0.828,0.08,0.011565836298932384
0,0.0,67.0,0.0,55.46511627906977,0.0,0.9988,0.169,0.776,0.056,0.0073937153419593345
0,0.0,11.0,1.0,543.0,0.0,0.7927,0.106,0.875,0.02,0.029465930018416207
0,1.0,81.0,2.0,145.91176470588235,0.0,0.9978,0.146,0.793,0.062,0.004997001798920648
