,Article_len,Avg_Word_Len,CountOfNumbers,CountofExclamation,class,allCaps,adjectives,superlatives,avgSentenceLen,neu,sent_overall,sent_pos,sent_neu,sent_neg,spelling_errors
0,469,4.569296375266523,16,0,0,0.0,56.0,1.0,260.7,0.0,0.8319,0.061,0.898,0.041,0.00382262996941896
1,803,3.920298879202989,5,0,0,0.0,68.0,0.0,134.9655172413793,0.0,0.9966,0.126,0.829,0.045,0.0058301647655259825
2,827,4.759371221281741,42,0,0,0.0,92.0,1.0,208.43478260869566,0.0,-0.993,0.107,0.745,0.148,0.0012458471760797341
3,538,4.368029739776952,60,0,0,0.0,72.0,3.0,140.0,0.0,0.9952,0.14,0.835,0.025,0.003372681281618887
4,457,5.002188183807441,50,0,0,1.0,44.0,4.0,132.85714285714286,0.0,0.2391,0.071,0.865,0.064,0.004971590909090909
5,405,4.696296296296296,4,1,0,1.0,42.0,2.0,180.0,0.0,0.9901,0.111,0.865,0.023,0.008898305084745763
6,814,4.944717444717446,42,0,0,3.0,90.0,1.0,194.96,0.0,0.9318,0.096,0.826,0.078,0.0034630270930943166
7,1,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,429,4.167832167832168,12,0,0,0.0,33.0,2.0,157.14285714285714,0.0,0.7464,0.086,0.845,0.069,0.0072300045187528245
10,740,4.641891891891891,27,0,0,1.0,64.0,0.0,155.14814814814815,0.0,0.9178,0.054,0.922,0.023,0.004492787893118941
11,925,4.8735135135135135,34,0,0,1.0,122.0,5.0,159.76470588235293,0.0,0.9194,0.112,0.796,0.092,0.014810751508502468
12,512,4.337890625,7,0,0,2.0,47.0,1.0,124.4090909090909,0.0,0.9838,0.116,0.82,0.063,0.013758146270818247
13,381,4.603674540682415,10,0,0,0.0,35.0,1.0,194.8181818181818,0.0,0.9732,0.122,0.831,0.047,0.004176334106728539
14,1082,4.131238447319778,53,0,0,5.0,104.0,2.0,103.25925925925925,0.0,0.9983,0.13,0.833,0.037,0.010122535961640916
15,709,4.001410437235543,3,0,0,0.0,70.0,1.0,121.75862068965517,0.0,0.9973,0.142,0.833,0.025,0.004493119910137602
16,1134,4.185185185185185,16,0,0,0.0,99.0,0.0,102.71929824561404,0.0,0.9955,0.121,0.817,0.062,0.006760182524928173
17,461,4.852494577006508,13,0,0,5.0,41.0,1.0,136.15,0.0,0.9733,0.093,0.866,0.041,0.005822416302765648
18,4065,4.388191881918819,595,22,0,8.0,343.0,2.0,114.90355329949239,0.0,0.9999,0.129,0.82,0.051,0.023289979691483387
19,848,4.514150943396227,18,0,0,0.0,72.0,0.0,141.36363636363637,0.0,0.977,0.148,0.736,0.117,0.012348307430274643
20,649,4.6517719568567015,90,0,0,1.0,59.0,0.0,142.8846153846154,0.0,-0.9992,0.055,0.725,0.22,0.004803843074459567
21,1279,4.659890539483972,2,0,0,1.0,125.0,0.0,145.84,0.0,0.9978,0.116,0.829,0.055,0.0028540364229410167
22,532,4.075187969924812,2,2,0,1.0,52.0,3.0,77.82857142857142,0.0,0.9927,0.13,0.829,0.04,0.009768451519536902
23,432,4.513888888888889,13,0,0,0.0,41.0,0.0,171.92857142857142,0.0,0.9905,0.138,0.818,0.044,0.00494641384995878
24,1077,3.725162488393686,2,1,0,3.0,94.0,2.0,76.77272727272727,0.0,0.9992,0.171,0.79,0.04,0.007381507381507382
25,778,4.482005141388175,27,0,0,0.0,100.0,5.0,116.75675675675676,0.0,0.999,0.181,0.798,0.022,0.006649850951616602
26,282,4.404255319148937,9,0,0,0.0,30.0,0.0,140.8181818181818,0.0,-0.579,0.104,0.776,0.12,0.0019157088122605363
27,2792,4.006446991404012,70,0,0,0.0,234.0,9.0,106.93076923076923,0.0,0.9998,0.153,0.779,0.068,0.00846613545816733
28,995,4.784924623115578,12,0,0,2.0,90.0,2.0,165.0857142857143,0.0,0.9935,0.083,0.891,0.026,0.006194081211286993
29,439,4.3917995444191344,16,0,0,1.0,29.0,2.0,132.22222222222223,0.0,0.9844,0.098,0.88,0.023,0.004163197335553705
30,1004,4.477091633466134,39,0,0,2.0,79.0,1.0,167.15151515151516,0.0,0.9177,0.038,0.951,0.01,0.0036010082823190494
31,905,4.125966850828728,20,1,0,1.0,92.0,0.0,145.125,0.0,0.9937,0.106,0.841,0.053,0.006830309498399146
32,8727,4.7762117566173945,997,0,0,29.0,975.0,29.0,160.58695652173913,0.0,0.9992,0.108,0.798,0.094,0.009672291279615407
33,233,4.901287553648069,4,0,0,0.0,20.0,0.0,138.2,0.0,0.8807,0.085,0.902,0.013,0.010760401721664276
34,955,4.839790575916231,63,0,0,4.0,99.0,2.0,165.6764705882353,0.0,0.972,0.102,0.816,0.082,0.009672880759760817
35,147,4.0,18,1,0,0.0,12.0,0.0,123.5,0.0,-0.3802,0.039,0.902,0.059,0.0160857908847185
36,1128,4.6462765957446805,6,0,0,2.0,114.0,2.0,187.02941176470588,0.0,0.9913,0.103,0.838,0.058,0.008747266479225243
37,744,3.991935483870968,28,0,0,0.0,73.0,1.0,127.82758620689656,0.0,0.9992,0.202,0.757,0.041,0.012048192771084338
