Article_len,Avg_Word_Len,CountOfNumbers,CountofExclaimation
1238,4.306138933764136,15,2
700,4.765714285714286,84,0
238,4.995798319327731,7,0
872,4.795871559633028,14,0
2132,4.3616322701688555,92,2
896,4.415178571428571,44,1
1064,4.719924812030075,38,0
1807,4.325401217487548,15,3
1686,4.20344009489917,28,3
849,4.9493521790341575,28,0
610,4.332786885245902,6,1
621,4.790660225442834,24,0
397,5.083123425692695,7,0
1265,4.338339920948616,30,0
667,4.478260869565218,4,0
717,4.347280334728033,4,1
492,4.782520325203252,94,0
1063,4.375352775164629,26,0
124,4.306451612903226,0,0
846,4.630023640661938,24,1
1186,4.74283305227656,0,0
920,4.904347826086957,21,0
1144,4.812062937062937,13,0
1011,4.1513353115727005,35,1
742,5.1738544474393535,34,0
743,4.554508748317631,22,0
1004,4.921314741035856,22,0
420,4.819047619047619,5,0
666,4.7207207207207205,6,0
719,4.613351877607789,8,0
647,4.629057187017001,10,0
237,4.831223628691983,2,0
175,5.285714285714286,1,0
1149,4.805918189730201,7,0
854,4.833723653395785,45,0
1479,4.626098715348208,54,1
157,4.789808917197452,18,0
182,3.741758241758242,21,0
1077,4.406685236768802,18,0
1631,4.697118332311465,22,0
1078,4.63265306122449,27,0
1294,4.575734157650696,14,0
1123,4.6313446126447015,40,0
239,4.682008368200837,2,0
2200,5.106363636363636,54,0
953,4.943336831059811,10,0
813,4.890528905289053,4,0
622,4.879421221864952,9,0
500,4.632,5,0
1146,4.786212914485166,18,0
1314,4.609589041095891,40,0
98,4.153061224489796,1,0
1248,4.390224358974359,11,0
916,4.950873362445415,27,0
576,4.576388888888889,17,0
372,4.876344086021505,21,0
247,5.230769230769231,0,0
809,4.862793572311496,16,0
781,4.423815620998719,4,0
228,5.140350877192983,6,0
892,4.630044843049327,10,0
1627,4.6041794714197914,27,0
965,4.494300518134715,2,0
1082,4.848428835489834,72,0
1504,4.528590425531915,18,1
948,4.0042194092827,19,0
1053,4.395061728395062,33,0
1167,5.019708654670095,146,0
1016,4.283464566929134,11,0
171,4.690058479532164,3,0
589,4.711375212224109,9,0
953,4.699895068205667,15,2
1285,4.926070038910506,48,0
961,4.8126951092611865,0,0
1220,4.5975409836065575,6,2
1143,5.120734908136483,2,0
298,4.89261744966443,6,0
757,4.693527080581242,14,0
705,4.851063829787234,32,0
986,4.907707910750507,25,0
609,5.180623973727422,12,0
1300,4.124615384615384,17,0
793,4.537200504413619,14,0
1069,4.268475210477082,27,2
1192,4.203859060402684,62,0
1094,4.843692870201097,41,0
507,4.810650887573964,8,0
60,4.1,1,0
743,4.6756393001345895,24,0
207,4.314009661835748,0,0
1121,4.461195361284568,8,0
393,4.343511450381679,22,0
736,4.930706521739131,9,0
264,4.590909090909091,7,0
501,4.391217564870259,24,0
176,4.545454545454546,1,0
1310,4.480916030534351,13,0
902,4.392461197339246,44,0
401,4.466334164588528,12,0
118,5.1525423728813555,1,0
669,4.7847533632287,17,0
1994,4.655967903711133,166,0
437,4.510297482837529,4,0
205,5.0,2,0
754,4.653846153846154,52,0
965,4.162694300518135,19,0
663,4.788838612368024,91,0
164,5.286585365853658,2,0
548,4.317518248175182,0,0
441,5.324263038548753,5,0
1549,4.551323434473854,27,1
23,4.565217391304348,0,0
292,4.376712328767123,7,0
793,4.424968474148802,26,1
139,4.611510791366906,8,0
307,4.485342019543974,0,2
634,5.21608832807571,30,0
678,4.346607669616519,11,2
385,4.825974025974026,24,0
295,4.969491525423729,17,0
879,4.581342434584755,57,0
172,4.6976744186046515,0,0
539,4.595547309833024,27,0
172,4.511627906976744,2,0
106,4.4245283018867925,2,0
1154,4.668110918544194,37,0
1187,4.371524852569503,36,0
164,4.701219512195122,0,0
765,4.371241830065359,12,0
2765,4.843037974683544,82,0
276,4.416666666666667,2,0
469,4.377398720682303,0,0
353,4.90084985835694,80,0
854,4.899297423887588,48,0
447,4.268456375838926,10,0
130,7.2615384615384615,0,0
385,4.587012987012987,18,0
695,4.687769784172662,34,0
1145,5.019213973799126,52,0
106,5.7075471698113205,2,0
1302,4.554531490015361,15,0
60,4.383333333333334,0,0
2055,4.108515815085158,68,0
1023,4.492668621700879,24,0
936,4.636752136752137,25,0
1024,5.0,56,0
727,4.5405777166437415,13,0
1458,4.750342935528121,68,1
417,4.7314148681055155,9,0
672,4.903273809523809,16,0
1153,4.810060711188204,121,0
1970,4.83502538071066,38,1
1024,4.6787109375,43,0
102,4.735294117647059,0,1
768,4.442708333333333,17,1
671,4.667660208643815,28,0
427,4.555035128805621,0,0
510,4.73921568627451,2,0
929,4.78686759956943,8,1
1324,4.389728096676738,74,0
714,4.57703081232493,15,0
823,4.640340218712029,18,0
802,4.148379052369077,19,0
855,4.488888888888889,4,0
1236,4.689320388349515,84,0
1292,4.429566563467493,18,0
1348,4.195845697329377,32,0
331,5.1299093655589125,12,0
753,4.710491367861886,68,0
2415,4.122981366459627,30,5
1381,4.795800144822592,13,0
1190,4.201680672268908,26,5
1260,4.537301587301587,15,0
320,5.353125,10,0
778,4.33547557840617,0,0
772,4.831606217616581,27,0
327,4.7889908256880735,1,0
460,4.767391304347826,0,0
1182,4.713197969543147,21,0
1692,4.49113475177305,26,5
885,4.734463276836158,34,0
934,4.926124197002141,34,0
1039,4.82483156881617,65,0
1193,4.376362112321877,33,1
1126,4.841918294849023,20,0
982,4.739307535641548,20,0
689,4.86211901306241,15,0
315,5.231746031746032,15,0
495,4.874747474747474,28,0
956,4.629707112970712,11,0
1145,4.540611353711791,25,0
562,5.080071174377224,12,0
267,4.426966292134831,0,0
915,5.170491803278688,30,0
1330,4.793984962406015,54,4
82,4.585365853658536,12,0
886,4.322799097065463,38,0
79,4.89873417721519,17,0
77,4.1688311688311686,4,0
916,4.348253275109171,7,1
101,4.267326732673268,8,0
1004,4.489043824701195,21,0
77,5.038961038961039,12,0
439,5.054669703872437,52,0
498,4.546184738955823,26,0
484,4.650826446280992,14,0
188,5.462765957446808,8,0
403,4.511166253101737,10,0
464,4.762931034482759,28,0
128,4.296875,6,0
188,4.776595744680851,0,0
520,4.296153846153846,0,1
444,5.3108108108108105,19,0
468,5.245726495726496,8,0
1071,4.65639589169001,50,0
433,4.284064665127021,27,0
477,4.415094339622642,1,0
632,4.5585443037974684,192,0
953,4.6138509968520465,18,1
676,4.47189349112426,57,0
1069,4.998129092609916,108,0
787,4.5743329097839895,89,0
996,4.7730923694779115,116,0
1341,4.66517524235645,55,0
910,4.826373626373626,36,0
5,4.0,0,0
1046,4.440726577437858,64,0
1097,4.779398359161349,40,0
728,4.954670329670329,53,0
246,4.373983739837398,2,0
272,4.830882352941177,22,0
1094,4.788848263254113,22,0
802,5.0,19,0
2310,4.400865800865801,98,7
1606,4.61519302615193,26,0
2389,4.69024696525743,139,0
992,4.317540322580645,16,1
210,4.942857142857143,5,0
865,4.845086705202312,11,1
904,4.872787610619469,47,0
807,4.8351920693928125,11,0
828,4.690821256038648,16,1
574,5.06794425087108,30,0
1220,4.8,20,0
628,4.976114649681529,6,0
224,5.348214285714286,13,0
361,5.0470914127423825,10,0
105,4.666666666666667,2,0
67,4.6716417910447765,5,0
75,6.44,50,0
819,4.534798534798535,116,0
1063,4.70931326434619,34,0
538,4.226765799256506,4,1
1345,4.768029739776952,119,0
516,4.563953488372093,12,0
508,4.608267716535433,42,2
825,4.352727272727273,27,3
914,4.486870897155361,18,0
820,4.7524390243902435,71,0
1250,4.5544,44,1
1585,4.711041009463722,29,0
839,4.206197854588797,48,0
1301,4.815526518063028,74,0
45,4.333333333333333,0,0
1334,4.738380809595203,43,2
1294,4.7913446676970635,55,0
744,4.290322580645161,12,0
1350,4.336296296296296,71,0
1443,4.920997920997921,6,0
1416,4.764830508474576,12,0
2064,4.791666666666667,74,0
575,4.926956521739131,35,0
1812,4.436534216335541,36,0
1687,4.588026081802015,96,0
1394,4.244619799139167,93,0
1134,4.337742504409171,23,4
1445,4.347404844290658,25,0
944,4.936440677966102,23,0
1203,4.661679135494597,50,0
1006,4.9453280318091455,22,0
345,3.8463768115942027,13,0
1217,4.47493837304848,18,0
320,6.121875,72,0
1419,4.255109231853418,141,0
82,4.609756097560975,3,0
1143,4.823272090988627,39,0
1090,4.202752293577982,49,0
1336,4.640718562874252,20,0
1142,4.833625218914186,30,0
1042,4.363723608445298,28,0
1124,4.853202846975089,4,0
369,4.710027100271002,6,0
800,4.60375,8,0
340,4.723529411764706,28,0
1090,4.663302752293578,48,0
1276,4.507836990595611,123,0
876,4.415525114155251,15,0
2252,4.600799289520427,18,1
1373,4.056081573197378,87,0
1047,4.808022922636103,37,0
1144,4.744755244755245,17,0
1133,4.593115622241836,14,0
1026,5.204678362573099,22,0
606,4.12046204620462,6,1
23,4.913043478260869,0,0
1203,4.960931005818787,33,0
928,5.2219827586206895,0,0
1033,4.5246853823814135,57,0
883,4.865232163080408,24,0
1223,4.5036794766966475,140,0
