class,allCaps,adjectives,superlatives,avgSentenceLen,sent_overall,sent_pos,sent_neu,sent_neg,spelling_errors
0,0.0,120.0,1.0,165.8,-0.9574,0.058,0.867,0.074,0.00299805126667666
0,17.0,81.0,0.0,120.5,-0.7096,0.031,0.93,0.039,0.0
0,2.0,28.0,1.0,181.375,0.8516,0.106,0.843,0.051,0.004801097393689987
0,2.0,113.0,1.0,165.58064516129033,0.9956,0.131,0.804,0.064,0.001743510267338241
0,0.0,213.0,5.0,224.90196078431373,0.9987,0.084,0.887,0.029,0.004253472222222222
0,2.0,89.0,4.0,188.1153846153846,0.9578,0.069,0.899,0.032,0.004882017900732303
0,2.0,122.0,6.0,127.97916666666667,0.9957,0.139,0.766,0.095,0.004039424785910487
0,6.0,162.0,2.0,117.28048780487805,0.9993,0.131,0.826,0.043,0.008970921839554547
0,5.0,160.0,2.0,220.725,0.9986,0.143,0.781,0.076,0.003495714930085701
0,0.0,103.0,2.0,212.70833333333334,0.935,0.062,0.897,0.041,0.0005850234009360375
0,0.0,47.0,0.0,191.52941176470588,-0.9912,0.067,0.797,0.136,0.003667481662591687
0,1.0,69.0,0.0,214.47058823529412,0.9899,0.096,0.881,0.023,0.006553795740032769
0,0.0,48.0,1.0,303.25,-0.875,0.06,0.839,0.102,0.002466091245376079
0,2.0,108.0,1.0,187.86111111111111,-0.9429,0.083,0.827,0.09,0.003089598352214212
0,1.0,70.0,1.0,203.55555555555554,0.9878,0.066,0.925,0.01,0.004074979625101874
0,0.0,69.0,1.0,128.93333333333334,0.9902,0.135,0.779,0.086,0.0023094688221709007
0,2.0,63.0,2.0,155.1578947368421,0.9761,0.083,0.894,0.023,0.0077545515846257585
0,2.0,109.0,0.0,179.125,0.974,0.086,0.862,0.052,0.005379142807565504
0,0.0,15.0,1.0,132.2,0.9716,0.177,0.823,0.0,0.007518796992481203
0,0.0,104.0,0.0,155.3548387096774,0.9389,0.104,0.822,0.074,0.003096614368290669
0,0.0,124.0,3.0,228.3,0.998,0.12,0.837,0.043,0.004070950857807502
0,2.0,115.0,0.0,228.16666666666666,0.9917,0.108,0.841,0.05,0.002364066193853428
0,2.0,139.0,1.0,210.25,0.9734,0.081,0.862,0.057,0.00739863865048831
0,1.0,86.0,1.0,91.56140350877193,0.9958,0.097,0.873,0.03,0.007582938388625593
0,1.0,101.0,2.0,388.5,-0.6966,0.061,0.872,0.067,0.006205863471003638
0,0.0,77.0,0.0,229.88888888888889,-0.8676,0.064,0.861,0.075,0.0036101083032490976
0,0.0,117.0,4.0,375.5,0.9968,0.105,0.88,0.014,0.0014942719574962643
0,0.0,43.0,1.0,99.12,0.8929,0.071,0.891,0.039,0.004396482813749001
0,0.0,64.0,2.0,174.86363636363637,0.9779,0.081,0.885,0.034,0.001034126163391934
0,0.0,77.0,0.0,185.04545454545453,-0.9933,0.103,0.74,0.157,0.001466275659824047
0,0.0,53.0,0.0,244.4,-0.5461,0.045,0.906,0.049,0.0038043478260869567
0,1.0,25.0,0.0,139.8,-0.3057,0.065,0.851,0.083,0.0028429282160625444
0,0.0,18.0,0.0,158.14285714285714,-0.7804,0.088,0.794,0.119,0.0026954177897574125
0,9.0,129.0,1.0,224.23333333333332,-0.9946,0.083,0.795,0.122,0.002368265245707519
0,0.0,113.0,3.0,229.5909090909091,0.7821,0.085,0.827,0.088,0.003746056782334385
0,1.0,162.0,0.0,323.61538461538464,-0.3687,0.073,0.856,0.071,0.0022517184166864187
