,Article_len,Avg_Word_Len,CountOfNumbers,CountofExclamation,class,allCaps,adjectives,superlatives,avgSentenceLen,sent_overall,sent_pos,sent_neu,sent_neg,spelling_errors
0,1238,4.306138933764136,15,2,0,0.0,120.0,1.0,165.8,-0.9574,0.058,0.867,0.074,0.00299805126667666
1,700,4.765714285714286,84,0,0,17.0,81.0,0.0,120.5,-0.7096,0.031,0.93,0.039,0.0
2,238,4.995798319327732,7,0,0,2.0,28.0,1.0,181.375,0.8516,0.106,0.843,0.051,0.004801097393689987
3,872,4.795871559633029,14,0,0,2.0,113.0,1.0,165.58064516129033,0.9956,0.131,0.804,0.064,0.001743510267338241
4,2132,4.361632270168856,92,2,0,0.0,213.0,5.0,224.90196078431373,0.9987,0.084,0.887,0.029,0.004253472222222222
5,896,4.415178571428571,44,1,0,2.0,89.0,4.0,188.1153846153846,0.9578,0.069,0.899,0.032,0.004882017900732303
6,1064,4.719924812030075,38,0,0,2.0,122.0,6.0,127.97916666666667,0.9957,0.139,0.766,0.095,0.004039424785910487
7,1807,4.325401217487548,15,3,0,6.0,162.0,2.0,117.28048780487805,0.9993,0.131,0.826,0.043,0.008970921839554547
8,1686,4.20344009489917,28,3,0,5.0,160.0,2.0,220.725,0.9986,0.143,0.781,0.076,0.003495714930085701
9,849,4.9493521790341575,28,0,0,0.0,103.0,2.0,212.70833333333334,0.935,0.062,0.897,0.041,0.0005850234009360375
10,610,4.332786885245902,6,1,0,0.0,47.0,0.0,191.52941176470588,-0.9912,0.067,0.797,0.136,0.003667481662591687
11,621,4.790660225442834,24,0,0,1.0,69.0,0.0,214.47058823529412,0.9899,0.096,0.881,0.023,0.006553795740032769
12,397,5.083123425692696,7,0,0,0.0,48.0,1.0,303.25,-0.875,0.06,0.839,0.102,0.002466091245376079
13,1265,4.338339920948616,30,0,0,2.0,108.0,1.0,187.86111111111111,-0.9429,0.083,0.827,0.09,0.003089598352214212
14,667,4.478260869565218,4,0,0,1.0,70.0,1.0,203.55555555555554,0.9878,0.066,0.925,0.01,0.004074979625101874
15,717,4.347280334728033,4,1,0,0.0,69.0,1.0,128.93333333333334,0.9902,0.135,0.779,0.086,0.0023094688221709007
16,492,4.782520325203252,94,0,0,2.0,63.0,2.0,155.1578947368421,0.9761,0.083,0.894,0.023,0.0077545515846257585
17,1063,4.375352775164629,26,0,0,2.0,109.0,0.0,179.125,0.974,0.086,0.862,0.052,0.005379142807565504
18,124,4.306451612903226,0,0,0,0.0,15.0,1.0,132.2,0.9716,0.177,0.823,0.0,0.007518796992481203
19,846,4.630023640661938,24,1,0,0.0,104.0,0.0,155.3548387096774,0.9389,0.104,0.822,0.074,0.003096614368290669
20,1186,4.742833052276559,0,0,0,0.0,124.0,3.0,228.3,0.998,0.12,0.837,0.043,0.004070950857807502
21,920,4.904347826086957,21,0,0,2.0,115.0,0.0,228.16666666666666,0.9917,0.108,0.841,0.05,0.002364066193853428
22,1144,4.812062937062937,13,0,0,2.0,139.0,1.0,210.25,0.9734,0.081,0.862,0.057,0.00739863865048831
23,1011,4.1513353115727005,35,1,0,1.0,86.0,1.0,91.56140350877193,0.9958,0.097,0.873,0.03,0.007582938388625593
24,742,5.1738544474393535,34,0,0,1.0,101.0,2.0,388.5,-0.6966,0.061,0.872,0.067,0.006205863471003638
25,743,4.554508748317631,22,0,0,0.0,77.0,0.0,229.88888888888889,-0.8676,0.064,0.861,0.075,0.0036101083032490976
