Article_len,Avg_Word_Len,CountOfNumbers,CountofExclaimation
91,4.5054945054945055,2,3
292,5.027397260273973,16,3
241,4.589211618257261,0,0
48,4.5625,2,1
337,5.115727002967359,10,0
196,5.173469387755102,24,2
1044,4.549808429118774,25,1
382,5.424083769633508,27,2
227,4.651982378854625,10,1
135,4.274074074074074,6,0
500,5,0,0
866,3.7321016166281753,38,5
754,4.9442970822281165,29,0
456,4.717105263157895,74,0
34,5.294117647058823,10,0
52,4.846153846153846,0,2
34,5.294117647058823,10,0
609,4.19376026272578,2,0
248,4.806451612903226,1,1
558,4.544802867383512,47,2
184,4.478260869565218,38,2
31,3.903225806451613,2,0
79,4.582278481012659,0,1
488,4.612704918032787,2,0
54,4.518518518518518,0,0
37,5.054054054054054,0,1
538,4.321561338289963,4,0
305,4.4,20,0
111,4.45045045045045,2,1
66,4.712121212121212,13,2
181,4.6740331491712706,14,1
62,3.903225806451613,0,2
25,5.44,0,0
105,5.447619047619048,2,0
611,4.754500818330605,19,0
1184,4.936655405405405,53,0
1200,5.008333333333334,54,0
5206,4.793891663465232,188,1
3449,4.992751522180342,377,0
557,5.012567324955117,23,0
492,4.941056910569106,24,0
131,5.022900763358779,15,0
241,4.6887966804979255,28,0
438,4.904109589041096,12,0
77,5.662337662337662,5,0
152,4.8618421052631575,12,0
169,4.964497041420119,17,0
197,4.898477157360406,14,0
1947,5.057010785824345,85,0
509,5.0,32,0
300,4.98,7,0
204,4.553921568627451,30,0
1931,4.755049197307095,54,1
433,4.351039260969977,20,0
602,4.857142857142857,30,0
2932,4.694406548431105,9,0
1212,4.858910891089109,18,0
791,4.59165613147914,24,0
946,4.513742071881607,44,0
4634,5.152136383254208,431,1
64,4.671875,2,0
154,4.928571428571429,0,0
111,4.711711711711712,0,0
71,3.943661971830986,2,0
117,4.905982905982906,9,0
117,4.905982905982906,9,0
111,4.711711711711712,0,0
71,3.943661971830986,2,0
117,4.905982905982906,9,0
4117,5.3422394947777505,403,1
63,5.587301587301587,1,0
324,6.058641975308642,45,0
116,5.043103448275862,12,0
210,5.538095238095238,2,0
63,5.587301587301587,1,0
324,6.058641975308642,45,0
63,5.587301587301587,1,0
324,6.058641975308642,45,0
324,6.058641975308642,45,0
17,5.117647058823529,0,0
186,5.526881720430108,42,0
4393,5.275438197131801,527,1
224,4.227678571428571,3,0
139,5.179856115107913,8,0
6,6.333333333333333,0,0
1,9.0,0,1
287,5.32404181184669,15,4
40,4.45,2,0
3715,5.275100942126514,333,1
310,5.064516129032258,6,0
23,3.869565217391304,0,0
71,3.5774647887323945,0,0
4,10.75,3,0
1,9.0,0,1
82,4.2317073170731705,2,0
42,7.023809523809524,2,0
82,4.2317073170731705,2,0
42,7.023809523809524,2,0
1,9.0,0,1
42,7.023809523809524,2,0
42,7.023809523809524,2,0
50,5.36,3,0
82,4.2317073170731705,2,0
42,7.023809523809524,2,0
1,9.0,0,1
1,9.0,0,1
230,5.769565217391304,7,0
19,3.8421052631578947,0,0
147,4.006802721088436,1,0
1506,4.339309428950863,38,2
160,5.23125,6,0
519,4.901734104046243,10,0
117,4.367521367521367,0,0
15,7.133333333333334,7,0
117,4.367521367521367,0,0
15,7.133333333333334,7,0
15,7.133333333333334,7,0
117,4.367521367521367,0,0
15,7.133333333333334,7,0
148,5.087837837837838,62,0
26,4.846153846153846,15,0
53,4.811320754716981,12,5
117,4.367521367521367,0,0
15,7.133333333333334,7,0
17,13.176470588235293,23,0
17,13.176470588235293,23,0
19,3.8421052631578947,0,0
147,4.006802721088436,1,0
19,3.8421052631578947,0,0
147,4.006802721088436,1,0
15,7.133333333333334,7,0
15,7.133333333333334,7,0
500,5,0,0
23,6.695652173913044,6,0
4240,5.117216981132075,362,3
21,4.523809523809524,2,0
23,6.695652173913044,6,0
1114,4.989228007181328,53,5
137,5.124087591240876,10,0
6,6.166666666666667,1,0
401,5.077306733167083,12,0
401,5.077306733167083,12,0
252,4.365079365079365,11,0
52,5.769230769230769,8,0
252,4.365079365079365,11,0
455,4.325274725274725,10,8
790,5.0430379746835445,66,2
25,4.4,0,2
4,8.5,0,0
132,3.893939393939394,2,0
39,5.384615384615385,1,0
27,4.0,0,4
85,4.341176470588235,4,0
27,4.0,0,4
85,4.341176470588235,4,0
5,5.4,0,0
4,8.5,0,0
132,3.893939393939394,2,0
39,5.384615384615385,1,0
613,5.0424143556280585,20,3
1111,5.1305130513051305,77,0
143,4.083916083916084,10,0
489,4.5378323108384455,22,0
168,3.9523809523809526,13,0
508,4.409448818897638,44,0
144,4.986111111111111,8,0
344,4.546511627906977,58,0
439,4.642369020501139,6,1
1415,4.067137809187279,46,6
78,3.91025641025641,8,0
246,4.565040650406504,16,0
328,5.234756097560975,4,0
495,5.022222222222222,28,0
480,4.8625,7,2
283,4.434628975265018,3,0
269,4.241635687732342,1,1
340,4.323529411764706,45,0
989,4.232558139534884,0,8
99,3.7373737373737375,1,0
311,4.369774919614148,54,0
71,4.577464788732394,8,0
64,5.359375,4,0
490,4.414285714285715,27,0
330,4.460606060606061,26,1
185,4.572972972972973,11,2
186,4.89247311827957,27,0
272,4.944852941176471,14,2
106,3.6792452830188678,1,1
395,4.341772151898734,0,1
279,4.50179211469534,7,1
449,4.939866369710468,20,0
129,3.891472868217054,0,0
255,4.188235294117647,0,1
208,4.548076923076923,0,0
82,4.329268292682927,11,0
204,4.632352941176471,0,0
157,4.267515923566879,1,0
102,4.235294117647059,0,0
505,4.211881188118812,14,12
393,4.066157760814249,9,0
106,4.179245283018868,15,3
236,4.864406779661017,114,0
168,4.166666666666667,17,2
1241,4.4641418211120065,16,1
341,4.343108504398827,31,1
442,4.4389140271493215,9,0
940,4.577659574468085,15,1
494,4.297570850202429,12,2
327,5.085626911314985,30,0
264,4.579545454545454,1,1
242,4.7190082644628095,0,1
119,4.8655462184873945,0,0
239,4.309623430962343,17,2
297,4.542087542087542,8,1
660,4.371212121212121,86,1
218,4.931192660550459,16,1
2115,4.584869976359338,107,3
113,3.9026548672566372,13,0
818,4.361858190709047,8,2
251,4.051792828685259,9,0
389,4.763496143958869,16,3
164,4.384146341463414,2,0
223,4.26457399103139,0,1
158,4.417721518987341,10,1
394,4.558375634517766,10,0
709,4.263751763046544,12,0
521,4.744721689059501,6,2
1974,4.441742654508612,60,4
137,4.109489051094891,3,0
509,4.567779960707269,39,1
315,4.453968253968254,11,0
193,4.233160621761658,0,2
349,5.117478510028653,6,0
484,4.1921487603305785,10,0
73,3.9452054794520546,14,0
705,4.324822695035461,13,0
152,4.730263157894737,4,0
250,4.344,11,1
226,4.778761061946903,6,2
197,5.197969543147208,5,7
73,3.547945205479452,0,0
184,4.5,4,0
334,4.580838323353293,34,0
216,4.7592592592592595,0,0
328,4.567073170731708,33,0
146,5.205479452054795,19,1
83,4.63855421686747,17,0
696,4.420977011494253,39,3
145,5.075862068965518,3,1
284,5.105633802816901,27,0
205,4.053658536585366,0,0
150,4.433333333333334,9,0
458,4.9126637554585155,61,0
92,4.130434782608695,10,0
281,4.637010676156583,11,0
200,4.555,3,0
254,5.066929133858268,8,0
714,4.456582633053221,2,2
353,4.753541076487252,47,3
25,5.24,0,0
26,4.730769230769231,0,0
25,5.68,0,0
604,4.720198675496689,10,0
347,4.77521613832853,56,0
25,4.28,0,0
29,4.0,1,0
25,5.8,0,0
25,4.6,0,0
25,5.6,0,0
27,4.2592592592592595,0,0
25,5.04,0,0
26,5.0,0,0
26,5.346153846153846,0,0
1224,4.747549019607843,14,0
27,4.0,0,0
25,5.36,0,0
24,4.5,0,0
25,4.88,2,0
25,6.4,0,0
27,5.444444444444445,0,0
25,5.56,0,0
27,3.888888888888889,0,0
27,3.740740740740741,0,1
27,4.222222222222222,4,0
25,4.96,0,0
25,5.32,0,0
26,4.961538461538462,0,0
1842,4.492399565689468,23,0
25,4.72,0,0
28,5.678571428571429,0,0
27,4.62962962962963,0,0
25,5.68,0,0
25,4.6,6,0
27,4.888888888888889,4,0
25,5.72,0,0
24,4.916666666666667,0,0
27,4.962962962962963,0,0
25,4.92,0,0
25,5.08,0,0
25,4.96,0,0
27,5.333333333333333,0,0
25,5.44,7,0
25,5.4,0,0
217,5.152073732718894,18,0
27,4.37037037037037,0,0
25,5.32,0,0
25,5.68,0,0
25,5.32,0,0
2348,5.2504258943781945,162,5
27,4.2592592592592595,0,0
25,4.52,0,0
27,4.444444444444445,0,0
30,4.466666666666667,0,0
25,4.48,0,0
26,4.538461538461538,0,0
27,5.296296296296297,0,0
27,4.555555555555555,0,0
2238,5.361036639857015,147,4
25,4.64,0,0
25,6.36,0,0
27,5.074074074074074,0,0
27,5.407407407407407,1,0
25,4.64,0,0
25,4.96,0,0
25,5.6,0,0
25,4.6,0,0
27,4.777777777777778,4,0
29,4.482758620689655,4,0
25,5.96,0,0
27,4.37037037037037,2,0
27,5.407407407407407,1,0
700,4.828571428571428,4,1
615,4.868292682926829,32,0
27,4.518518518518518,9,0
29,4.448275862068965,0,0
25,4.44,1,0
540,4.937037037037037,12,1
25,4.44,0,0
25,4.92,0,0
31,4.032258064516129,0,0
25,5.08,0,0
27,4.703703703703703,0,0
27,5.111111111111111,0,0
27,4.185185185185185,0,0
27,3.814814814814815,0,0
25,4.8,0,0
25,5.68,0,0
27,5.111111111111111,4,0
25,5.72,0,0
25,5.64,0,0
27,4.111111111111111,0,0
25,4.76,0,0
25,4.76,0,0
29,3.9655172413793105,0,0
25,4.36,0,0
25,5.36,1,0
29,4.413793103448276,0,0
27,6.185185185185185,0,0
25,6.0,0,0
708,4.577683615819209,9,1
657,4.2085235920852355,10,1
219,4.474885844748859,37,0
433,4.524249422632795,12,1
379,4.754617414248021,16,1
571,4.005253940455342,11,1
633,4.516587677725118,37,1
449,4.387527839643653,17,2
273,4.457875457875458,16,1
1147,4.417611159546643,41,3
363,4.011019283746556,8,0
470,4.514893617021277,9,1
352,4.457386363636363,9,1
384,4.393229166666667,22,1
567,4.619047619047619,20,1
579,4.409326424870466,14,1
468,4.371794871794871,38,1
323,4.6687306501547985,31,1
461,4.54880694143167,9,1
528,4.636363636363637,13,1
218,4.802752293577981,16,1
514,4.099221789883268,3,1
140,5.085714285714285,1,0
303,5.003300330033003,14,1
195,5.005128205128205,1,0
182,4.912087912087912,13,1
333,4.321321321321322,5,0
233,4.738197424892704,11,1
134,5.0,11,0
145,5.0344827586206895,7,0
278,5.140287769784172,4,1
312,4.596153846153846,7,2
234,4.615384615384615,8,0
61,4.491803278688525,10,0
58,4.293103448275862,2,0
1398,5.056509298998569,68,0
305,4.963934426229508,25,0
1536,4.845703125,114,1
411,5.121654501216545,26,0
2,6.0,0,1
321,5.006230529595015,32,0
2373,5.15212810788032,51,0
439,4.831435079726652,8,0
461,5.043383947939263,13,0
478,4.99581589958159,17,0
340,4.961764705882353,30,0
860,4.829069767441861,33,0
12,4.833333333333333,0,0
129,5.054263565891473,16,0
30,5.133333333333334,0,0
3975,4.8032704402515725,130,2
459,5.119825708061002,9,0
28,4.321428571428571,0,1
620,4.843548387096774,98,1
1049,5.1229742612011435,21,1
1215,5.0930041152263374,54,0
433,5.20554272517321,22,0
803,4.775840597758406,5,2
351,4.4586894586894585,15,0
363,5.049586776859504,8,0
2403,5.41156887224303,133,1
4441,4.768745777977933,105,1
404,5.0,37,0
236,5.135593220338983,30,0
1415,5.120141342756184,24,2
1007,5.130089374379344,21,0
522,4.8084291187739465,17,0
379,4.820580474934037,29,0
48,5.0,0,0
108,5.0092592592592595,3,0
1380,5.165942028985508,14,0
940,5.237234042553191,45,0
10,6.4,0,0
709,4.947813822284909,52,0
773,4.8615782664941785,12,3
936,4.889957264957265,13,0
1607,4.776602364654636,24,0
83,4.771084337349397,3,0
4314,5.037088548910524,143,1
361,4.753462603878116,14,0
2,6.0,0,0
960,4.979166666666667,5,0
689,4.965166908563135,31,2
16,3.5,0,0
2360,4.840677966101695,40,0
8,4.5,0,0
586,5.339590443686006,14,0
1930,4.937823834196891,9,0
632,5.151898734177215,11,0
40,4.025,0,0
39,4.205128205128205,0,0
446,4.968609865470852,22,0
1330,4.802255639097744,13,0
597,5.157453936348409,46,0
1528,4.701570680628272,47,0
57,4.228070175438597,4,0
14,5.928571428571429,0,0
3,4.333333333333333,0,0
12,4.166666666666667,0,0
29,3.7241379310344827,0,0
7,5.428571428571429,0,0
5,6.0,0,0
1070,4.694392523364486,6,0
435,4.816091954022989,29,0
386,5.0595854922279795,15,0
721,4.933425797503467,23,1
3,6.0,0,0
1168,4.915239726027397,13,0
1242,5.243961352657005,24,0
1057,5.16650898770104,25,0
314,4.987261146496815,19,0
104,4.548076923076923,0,0
245,5.612244897959184,0,0
1231,4.6588139723801785,19,0
244,5.168032786885246,33,0
92,4.576086956521739,1,0
66,6.287878787878788,8,0
73,4.301369863013699,0,0
274,4.923357664233577,8,1
2,6.0,0,0
1483,5.136210384356035,33,3
2513,4.869876641464385,133,1
466,4.946351931330472,22,0
359,5.362116991643454,8,0
1671,5.003590664272891,74,0
1186,5.249578414839798,28,0
79,4.265822784810126,0,1
296,4.783783783783784,5,0
289,4.418685121107266,16,0
7,4.857142857142857,0,0
306,5.111111111111111,13,0
90,5.088888888888889,0,0
108,4.648148148148148,1,0
1426,4.921458625525947,25,1
200,4.545,0,0
406,4.571428571428571,13,0
229,4.729257641921397,8,3
156,5.608974358974359,68,7
154,4.194805194805195,1,1
180,4.216666666666667,0,3
253,5.260869565217392,2,0
366,4.841530054644808,64,3
116,4.586206896551724,1,0
200,4.38,3,1
491,4.403258655804481,20,6
448,4.372767857142857,12,0
463,4.978401727861771,14,1
1599,4.7242026266416515,22,0
694,5.230547550432276,14,0
237,4.7215189873417724,75,0
192,4.369791666666667,6,0
340,4.41764705882353,7,0
372,4.830645161290323,12,0
679,4.811487481590574,25,0
355,4.732394366197183,11,0
482,5.0062240663900415,19,0
289,4.951557093425605,10,0
62,4.854838709677419,0,0
494,4.6923076923076925,16,2
299,4.648829431438127,6,0
533,4.896810506566604,22,0
326,4.625766871165644,12,0
451,4.416851441241685,17,0
283,4.597173144876325,9,0
478,4.539748953974895,29,0
434,4.741935483870968,18,0
360,5.022222222222222,171,0
356,4.752808988764045,17,0
488,5.020491803278689,16,0
