allCaps,adjectives,superlatives,class,avgSentenceLen,sent_overall,sent_pos,sent_neu,sent_neg,spelling_errors
1.0,8.0,0.0,1,71.0,0.3129,0.113,0.797,0.09,0.005940594059405941
2.0,18.0,0.0,1,147.83333333333334,-0.7562,0.038,0.898,0.064,0.004471771939631079
2.0,27.0,0.0,1,150.44444444444446,0.8955,0.085,0.882,0.034,0.00293470286133529
7.0,4.0,0.0,1,66.75,0.2375,0.267,0.496,0.237,0.007380073800738007
11.0,43.0,0.0,1,109.10526315789474,0.9664,0.13,0.793,0.077,0.00477326968973747
0.0,28.0,0.0,1,103.5,-0.9887,0.049,0.719,0.232,0.013545816733067729
17.0,113.0,4.0,1,176.4848484848485,0.8119,0.071,0.87,0.06,0.007325383304940375
9.0,41.0,1.0,1,156.25,-0.9305,0.041,0.869,0.09,0.009916699722332408
7.0,27.0,0.0,1,183.14285714285714,0.8151,0.055,0.933,0.012,0.006955177743431221
7.0,15.0,0.0,1,89.5,-0.8402,0.025,0.884,0.091,0.0041265474552957355
3.0,2.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
7.0,76.0,1.0,1,29.613138686131386,0.9976,0.112,0.866,0.023,0.011278195488721804
2.0,77.0,1.0,1,181.36,0.9949,0.115,0.87,0.015,0.003947368421052632
5.0,55.0,1.0,1,138.78947368421052,-0.812,0.064,0.855,0.081,0.008276899924755455
3.0,2.0,0.0,1,54.75,0.7906,0.189,0.811,0.0,0.013452914798206279
5.0,4.0,0.0,1,61.8,0.4184,0.152,0.744,0.104,0.019169329073482427
5.0,5.0,0.0,1,54.75,0.7906,0.189,0.811,0.0,0.013452914798206279
2.0,61.0,1.0,1,142.8181818181818,-0.5355,0.09,0.822,0.089,0.005671077504725898
11.0,41.0,0.0,1,121.0,0.8629,0.088,0.858,0.054,0.0068212824010914054
4.0,68.0,0.0,1,94.21212121212122,0.996,0.195,0.694,0.111,0.0028580501746586218
8.0,21.0,1.0,1,130.25,0.9078,0.12,0.82,0.061,0.006660323501427212
3.0,5.0,0.0,1,153.0,-0.8805,0.0,0.702,0.298,0.0
2.0,16.0,0.0,1,63.857142857142854,-0.8101,0.069,0.794,0.137,0.0
6.0,62.0,0.0,1,210.53846153846155,-0.8658,0.08,0.819,0.101,0.006891548784911135
3.0,5.0,0.0,1,98.0,0.7184,0.132,0.868,0.0,0.0033783783783783786
3.0,5.0,0.0,1,225.0,0.0,0.0,1.0,0.0,0.017777777777777778
7.0,47.0,1.0,1,151.73684210526315,-0.9956,0.047,0.811,0.143,0.006522485410230003
9.0,31.0,0.0,1,117.71428571428571,0.8484,0.064,0.899,0.036,0.006610576923076923
6.0,13.0,1.0,1,100.5,-0.862,0.123,0.7,0.177,0.004918032786885246
6.0,7.0,0.0,1,95.0,0.8488,0.132,0.868,0.0,0.02610966057441253
24.0,18.0,0.0,1,127.625,-0.8583,0.063,0.823,0.114,0.0058309037900874635
3.0,4.0,0.0,1,75.5,0.3413,0.112,0.799,0.089,0.006514657980456026
4.0,9.0,0.0,1,81.5,-0.25,0.0,0.923,0.077,0.0
0.0,23.0,0.0,1,172.0,-0.9153,0.071,0.751,0.178,0.002886002886002886
17.0,79.0,3.0,1,236.2,-0.1997,0.1,0.798,0.101,0.005893909626719057
14.0,154.0,1.0,1,214.84848484848484,-0.2966,0.058,0.893,0.049,0.004625735912531539
23.0,132.0,5.0,1,197.0,-0.9196,0.044,0.903,0.053,0.0098065922092073
29.0,590.0,8.0,1,175.53179190751445,-0.9386,0.1,0.798,0.102,0.006701098326359832
44.0,431.0,11.0,1,265.54430379746833,0.1685,0.08,0.842,0.078,0.005787201745647739
21.0,63.0,4.0,1,226.73333333333332,0.9821,0.087,0.886,0.027,0.007883211678832117
14.0,74.0,1.0,1,185.4375,-0.9561,0.063,0.837,0.1,0.007360321177651389
12.0,25.0,0.0,1,160.0,0.9569,0.186,0.768,0.046,0.006188118811881188
39.0,36.0,0.0,1,281.6,0.9809,0.142,0.828,0.03,0.005657708628005658
11.0,55.0,1.0,1,217.0,0.9796,0.12,0.837,0.044,0.003429878048780488
0.0,11.0,1.0,1,179.0,0.4767,0.077,0.871,0.052,0.011131725417439703
0.0,30.0,3.0,1,179.4,0.93,0.156,0.776,0.068,0.0033149171270718232
13.0,22.0,0.0,1,147.0,0.5731,0.107,0.812,0.081,0.006750241080038573
11.0,21.0,0.0,1,196.66666666666666,-0.5525,0.065,0.84,0.094,0.005046257359125316
