Article_len,Avg_Word_Len,CountOfNumbers,CountofExclamation,allCaps,adjectives,superlatives,class,avgSentenceLen,sent_overall,sent_pos,sent_neu,sent_neg,spelling_errors
91,4.5054945054945055,2,3,1.0,8.0,0.0,1,71.0,0.3129,0.113,0.797,0.09,0.005940594059405941
292,5.027397260273973,16,3,2.0,18.0,0.0,1,147.83333333333334,-0.7562,0.038,0.898,0.064,0.004471771939631079
241,4.589211618257261,0,0,2.0,27.0,0.0,1,150.44444444444446,0.8955,0.085,0.882,0.034,0.00293470286133529
48,4.5625,2,1,7.0,4.0,0.0,1,66.75,0.2375,0.267,0.496,0.237,0.007380073800738007
337,5.1157270029673585,10,0,11.0,43.0,0.0,1,109.10526315789474,0.9664,0.13,0.793,0.077,0.00477326968973747
196,5.173469387755102,24,2,0.0,28.0,0.0,1,103.5,-0.9887,0.049,0.719,0.232,0.013545816733067729
1044,4.549808429118773,25,1,17.0,113.0,4.0,1,176.4848484848485,0.8119,0.071,0.87,0.06,0.007325383304940375
382,5.424083769633508,27,2,9.0,41.0,1.0,1,156.25,-0.9305,0.041,0.869,0.09,0.009916699722332408
227,4.651982378854625,10,1,7.0,27.0,0.0,1,183.14285714285714,0.8151,0.055,0.933,0.012,0.006955177743431221
135,4.274074074074074,6,0,7.0,15.0,0.0,1,89.5,-0.8402,0.025,0.884,0.091,0.0041265474552957355
500,5.0,0,0,3.0,2.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
866,3.7321016166281753,38,5,7.0,76.0,1.0,1,29.613138686131386,0.9976,0.112,0.866,0.023,0.011278195488721804
754,4.9442970822281165,29,0,2.0,77.0,1.0,1,181.36,0.9949,0.115,0.87,0.015,0.003947368421052632
456,4.717105263157895,74,0,5.0,55.0,1.0,1,138.78947368421052,-0.812,0.064,0.855,0.081,0.008276899924755455
34,5.294117647058823,10,0,3.0,2.0,0.0,1,54.75,0.7906,0.189,0.811,0.0,0.013452914798206279
52,4.846153846153847,0,2,5.0,4.0,0.0,1,61.8,0.4184,0.152,0.744,0.104,0.019169329073482427
34,5.294117647058823,10,0,5.0,5.0,0.0,1,54.75,0.7906,0.189,0.811,0.0,0.013452914798206279
609,4.19376026272578,2,0,2.0,61.0,1.0,1,142.8181818181818,-0.5355,0.09,0.822,0.089,0.005671077504725898
248,4.806451612903227,1,1,11.0,41.0,0.0,1,121.0,0.8629,0.088,0.858,0.054,0.0068212824010914054
