Article_len,Avg_Word_Len,CountOfNumbers,CountofExclaimation
469,4.569296375266524,16,0
803,3.920298879202989,5,0
827,4.759371221281741,42,0
538,4.368029739776952,60,0
457,5.00218818380744,50,0
405,4.696296296296296,4,1
814,4.944717444717445,42,0
1,0.0,0,0
1,0.0,0,0
429,4.1678321678321675,12,0
740,4.641891891891892,27,0
925,4.8735135135135135,34,0
512,4.337890625,7,0
381,4.603674540682415,10,0
1082,4.131238447319778,53,0
709,4.001410437235543,3,0
1134,4.185185185185185,16,0
461,4.8524945770065075,13,0
4065,4.388191881918819,595,22
848,4.514150943396227,18,0
649,4.651771956856702,90,0
1279,4.659890539483972,2,0
532,4.075187969924812,2,2
432,4.513888888888889,13,0
1077,3.725162488393686,2,1
778,4.482005141388175,27,0
282,4.404255319148936,9,0
2792,4.006446991404012,70,0
995,4.784924623115578,12,0
439,4.3917995444191344,16,0
1004,4.477091633466135,39,0
905,4.125966850828729,20,1
8727,4.7762117566173945,997,0
233,4.901287553648069,4,0
955,4.83979057591623,63,0
147,4.0,18,1
1128,4.6462765957446805,6,0
744,3.9919354838709675,28,0
834,4.7458033573141485,14,0
894,4.825503355704698,28,0
1216,4.489309210526316,6,0
498,4.947791164658635,75,1
670,4.240298507462686,29,0
229,5.122270742358078,16,0
1795,4.4690807799442895,71,0
1102,4.029038112522686,39,0
857,4.400233372228705,6,0
411,4.605839416058394,15,0
862,4.546403712296984,18,0
522,5.030651340996169,19,0
822,4.373479318734793,49,0
743,5.024226110363392,93,0
508,4.940944881889764,16,2
192,4.71875,8,0
565,4.649557522123894,9,0
1033,4.904162633107454,17,0
822,4.7104622871046224,33,0
655,4.743511450381679,8,0
329,4.714285714285714,25,0
157,4.789808917197452,4,0
448,4.680803571428571,13,0
201,4.442786069651741,8,0
498,4.795180722891566,11,0
306,4.990196078431373,14,0
583,4.41852487135506,7,0
805,4.901863354037267,17,0
510,4.776470588235294,17,0
1008,4.134920634920635,34,0
232,4.5,0,0
380,4.821052631578947,35,1
374,4.5855614973262036,8,0
644,4.468944099378882,24,0
1777,4.173888576252111,49,0
10733,4.635609801546632,596,1
327,4.2629969418960245,18,2
564,4.196808510638298,21,0
717,3.933054393305439,2,0
399,4.501253132832081,24,1
982,3.914460285132383,6,1
87,4.850574712643678,84,0
882,4.621315192743764,23,0
739,4.664411366711772,12,0
393,4.567430025445293,18,0
620,4.314516129032258,6,0
199,4.8793969849246235,12,0
947,4.995776135163675,30,0
819,3.912087912087912,24,0
495,4.911111111111111,13,0
577,4.974003466204506,22,0
310,4.7709677419354835,21,0
1001,4.646353646353647,64,0
373,4.7560321715817695,38,0
519,4.626204238921002,94,0
622,4.512861736334405,0,0
1001,4.280719280719281,8,10
463,3.91792656587473,88,0
489,4.265848670756646,18,0
502,4.960159362549801,5,0
253,4.545454545454546,32,0
958,4.487473903966597,14,4
825,5.450909090909091,25,0
989,4.869565217391305,44,0
1503,4.429807052561544,33,5
637,4.684458398744113,50,0
1135,4.4,25,10
1478,4.2280108254397835,14,2
274,5.102189781021898,8,0
832,4.623798076923077,54,0
939,4.741214057507987,5,0
813,4.249692496924969,36,0
1220,4.671311475409836,0,0
664,4.173192771084337,54,1
1082,4.302218114602588,6,2
866,4.586605080831409,59,0
648,4.674382716049383,14,0
524,4.278625954198473,8,0
343,4.137026239067056,5,0
953,4.4438614900314795,31,1
467,4.434689507494647,33,0
336,3.7470238095238093,31,0
536,4.427238805970149,11,0
309,4.2200647249190935,3,1
2156,4.10899814471243,44,1
591,4.467005076142132,48,0
255,5.227450980392157,0,0
532,4.618421052631579,43,0
844,4.830568720379147,10,0
967,4.723888314374354,20,0
432,4.824074074074074,16,0
1625,4.843692307692308,124,0
1990,4.678391959798995,220,0
309,4.0453074433656955,18,0
308,4.51948051948052,6,0
395,4.207594936708861,22,5
901,4.513873473917869,26,0
1699,4.304296645085344,77,1
440,4.718181818181818,8,0
1007,4.2323733862959285,6,0
560,4.064285714285714,20,0
345,4.48695652173913,11,0
2272,4.40580985915493,159,0
1047,4.566380133715377,13,1
377,4.0795755968169765,11,0
1,0.0,0,0
836,4.510765550239235,41,0
683,4.780380673499268,14,0
1093,4.797804208600183,38,0
580,4.379310344827586,50,6
425,4.1647058823529415,12,4
3061,4.741587716432538,161,0
753,5.370517928286852,35,0
1552,4.603737113402062,21,1
582,4.912371134020619,10,0
973,4.60431654676259,10,0
1396,4.927650429799427,27,0
378,4.78042328042328,19,0
827,4.5175332527206775,96,0
304,4.631578947368421,16,0
999,4.5425425425425425,11,0
1231,4.532087733549959,18,1
2163,4.562182154415164,99,0
301,4.787375415282392,2,0
276,5.02536231884058,8,0
222,4.711711711711712,6,0
992,4.409274193548387,14,0
250,4.608,44,0
601,4.312811980033278,21,1
1278,4.295774647887324,111,0
516,4.391472868217054,30,0
905,4.249723756906078,36,0
1728,4.2876157407407405,160,1
840,4.65,18,0
227,4.484581497797357,53,0
1141,4.573181419807186,36,0
967,4.983453981385729,35,0
1,0.0,0,0
778,4.379177377892031,4,1
392,4.387755102040816,20,0
316,4.098101265822785,41,0
939,4.1640042598509055,1,0
400,3.77,4,1
1612,4.390818858560794,36,0
1147,4.7637314734088925,9,2
1484,4.223719676549865,37,0
960,4.345833333333333,48,0
625,4.72,16,0
992,4.987903225806452,38,0
292,4.3561643835616435,0,0
914,4.269146608315099,13,1
544,4.724264705882353,52,0
1116,4.767921146953405,21,0
538,4.446096654275093,39,0
952,5.109243697478991,54,0
260,4.246153846153846,3,0
1018,4.566797642436149,22,0
444,4.754504504504505,2,0
1065,4.809389671361503,6,0
822,5.0608272506082725,4,0
844,4.372037914691943,30,0
418,4.502392344497608,16,0
857,4.90781796966161,16,0
449,4.703786191536748,31,0
687,4.786026200873362,95,0
876,4.882420091324201,51,0
1385,4.705415162454874,22,0
1655,4.47250755287009,14,0
1274,4.548665620094192,88,1
674,4.207715133531157,20,0
1285,4.494941634241245,34,0
164,4.810975609756097,9,0
644,4.774844720496894,21,0
898,4.33184855233853,18,1
1503,4.5568862275449105,80,0
622,4.808681672025723,15,0
805,5.227329192546584,38,0
824,4.418689320388349,4,0
618,4.849514563106796,15,0
728,5.053571428571429,50,0
172,4.151162790697675,49,0
1363,4.6441672780630965,98,0
889,4.2047244094488185,48,0
1202,4.108153078202995,13,0
1062,4.512241054613936,81,0
935,3.9828877005347594,12,0
1102,4.814882032667876,6,0
960,4.536458333333333,0,0
986,4.531440162271806,12,0
941,4.464399574920297,20,1
2527,4.702018203403245,88,0
484,4.644628099173554,2,0
2614,4.41469013006886,184,0
281,4.637010676156583,1,0
333,4.684684684684685,21,2
924,4.617965367965368,57,0
845,4.489940828402367,25,0
2956,4.395128552097429,18,0
991,4.717457114026236,42,0
1254,4.101275917065391,8,1
982,3.9266802443991855,19,0
312,4.759615384615385,0,0
1163,4.52536543422184,4,2
653,4.825421133231241,10,0
558,4.489247311827957,122,0
497,4.591549295774648,22,0
343,4.50728862973761,19,0
1292,5.375386996904025,28,0
455,3.9164835164835163,16,0
1253,4.376695929768555,11,0
399,3.912280701754386,58,0
1229,4.458096013018714,20,0
816,4.25,2,0
1478,4.717185385656292,23,0
1496,4.401737967914438,81,0
625,4.9552,8,0
497,4.10261569416499,18,0
1009,4.431119920713578,37,0
1502,4.692410119840213,24,0
1262,4.74405705229794,21,0
1173,4.64535379369139,22,0
763,4.584534731323722,8,1
1272,4.453616352201258,0,0
1214,4.20510708401977,50,0
317,4.321766561514195,6,0
669,4.750373692077728,6,0
321,4.461059190031152,4,0
5,3.0,0,1
1499,4.503002001334223,46,0
362,4.892265193370166,4,0
749,4.67022696929239,48,0
1047,4.809933142311365,21,0
1113,4.6963162623539985,8,0
1157,4.917891097666379,60,1
892,4.575112107623318,5,0
1254,4.7958532695374805,74,0
806,4.647642679900744,4,0
403,4.883374689826303,8,0
1048,4.521946564885496,26,0
1173,5.051150895140665,36,0
684,4.87719298245614,16,0
1267,4.212312549329124,21,0
1552,4.695231958762887,76,0
195,4.671794871794872,10,0
434,4.903225806451613,27,0
1131,3.958443854995579,2,0
972,4.527777777777778,13,0
459,4.400871459694989,8,0
994,4.958752515090543,40,0
777,4.359073359073359,77,0
407,4.722358722358722,27,0
760,4.184210526315789,10,0
1027,4.214216163583252,37,0
1228,4.548045602605863,16,0
371,4.781671159029649,24,0
541,4.6709796672828094,10,0
536,4.813432835820896,42,0
862,4.505800464037123,31,0
814,4.826781326781327,55,0
398,5.07286432160804,24,0
651,4.847926267281106,44,0
697,5.050215208034433,48,0
1,0.0,0,0
1,0.0,0,0
436,4.605504587155964,43,0
511,4.317025440313111,12,0
915,4.410928961748634,4,0
716,4.794692737430168,31,0
638,4.85423197492163,24,0
895,4.5597765363128495,7,1
620,4.380645161290323,10,0
658,4.51063829787234,28,0
710,4.554929577464788,126,0
385,4.781818181818182,46,0
606,4.191419141914191,28,0
375,4.482666666666667,2,0
490,4.530612244897959,20,0
1215,4.439506172839506,30,0
885,4.487005649717514,15,0
906,4.554083885209713,23,0
1727,4.430804863925883,42,1
548,4.806569343065694,9,0
680,4.422058823529412,23,0
763,4.799475753604194,40,0
3779,4.480285789891505,428,5
754,4.059681697612732,33,0
741,4.825910931174089,4,0
2145,4.365967365967366,387,0
796,4.3793969849246235,36,0
7944,4.1402316213494466,204,0
6467,4.540590691201484,539,5
216,4.212962962962963,14,0
1245,4.3799196787148595,31,0
172,4.023255813953488,26,0
811,4.200986436498151,0,0
895,4.293854748603352,0,0
429,3.972027972027972,0,0
1224,4.487745098039215,42,0
656,4.673780487804878,43,0
739,4.619756427604871,12,0
363,4.43801652892562,12,0
1006,4.48807157057654,42,0
951,4.9842271293375395,47,0
737,4.4830393487109905,25,0
1038,4.8747591522158,20,0
938,3.898720682302772,10,0
2531,4.395495851442118,97,0
624,4.294871794871795,6,0
954,4.665618448637317,40,0
631,4.635499207606973,111,0
730,4.502739726027397,92,0
902,4.814855875831485,15,0
538,4.615241635687732,2,0
467,5.122055674518201,41,0
498,5.044176706827309,5,0
208,4.658653846153846,2,0
741,4.300944669365722,8,4
497,4.99195171026157,8,0
905,4.103867403314917,30,0
194,5.025773195876289,2,0
1148,4.646341463414634,31,0
1004,4.792828685258964,66,0
320,4.446875,16,0
801,4.63920099875156,36,0
830,3.908433734939759,0,0
730,4.46986301369863,38,2
1341,4.417598806860552,17,0
803,4.611457036114571,47,0
89,5.01123595505618,0,0
484,4.359504132231405,12,0
9133,4.5309317858316,364,0
739,4.382949932341002,0,1
800,4.58375,24,0
848,4.952830188679245,13,0
969,4.485036119711042,48,0
201,4.069651741293533,10,0
1608,4.66728855721393,0,0
609,4.175697865353038,6,0
669,4.66965620328849,2,0
955,3.86282722513089,32,0
2233,4.502910882221227,133,0
817,4.4577723378212974,91,0
809,4.435105067985167,19,0
6947,4.813156758312941,955,3
353,4.53257790368272,4,0
858,4.700466200466201,2,0
453,4.878587196467991,0,0
400,4.8925,31,0
1179,4.029686174724342,30,0
916,4.677947598253275,19,0
1023,4.4555229716520035,81,0
586,4.310580204778157,320,0
729,4.587105624142661,8,0
236,4.970338983050848,5,0
649,4.593220338983051,50,0
445,4.373033707865169,34,5
1034,4.788201160541586,16,0
1709,4.425394967817437,33,16
735,4.827210884353741,16,0
1053,4.716049382716049,11,0
326,4.50920245398773,44,0
599,4.212020033388981,21,0
88,4.863636363636363,84,0
437,4.9862700228832955,15,0
173,4.982658959537572,20,0
311,4.559485530546624,12,0
981,4.580020387359837,61,1
764,4.6636125654450264,16,0
572,4.634615384615385,41,0
1722,4.613240418118467,43,0
618,5.203883495145631,26,0
711,4.676511954992968,5,0
795,4.767295597484277,0,0
1171,5.024765157984628,28,0
312,4.487179487179487,10,0
1047,4.004775549188157,0,0
414,4.458937198067633,29,0
521,4.737044145873321,18,0
1016,4.666338582677166,90,0
1447,4.692467173462336,56,1
546,5.190476190476191,8,0
908,4.872246696035242,5,0
689,4.933236574746009,41,0
506,4.701581027667984,0,0
1555,4.316398713826366,108,0
1324,4.244712990936556,7,2
809,4.699629171817058,22,0
672,4.727678571428571,6,3
2837,3.743038420867113,30,5
370,4.545945945945946,17,0
215,4.683720930232558,10,0
675,4.408888888888889,43,0
396,4.78030303030303,20,0
508,4.2047244094488185,21,0
1039,4.781520692974014,90,0
968,4.708677685950414,29,0
975,4.567179487179487,7,0
451,4.319290465631929,9,0
753,4.606905710491368,4,1
898,4.543429844097996,11,0
787,4.672172808132148,46,0
1071,4.873949579831932,38,0
665,3.9894736842105263,4,0
